Nama Game,Harga Game
HITMAN 3 - Street Art Pack (English/Chinese Ver.),"Rp 48,300"
Deus Ex: Mankind Divided - 1 Praxis Kit Pack (Add-On),"Rp 13,000"
Deus Ex: Mankind Divided - 5000 Credits Pack (English Ver.),"Rp 93,000"
Foster's Favorites Weapon Skin Pack (English/Chinese/Korean Ver.),"Rp 86,000"
Gravity Imploder Weapon Bundle (English/Chinese/Korean Ver.),"Rp 86,000"
Hazmat Suit Bundle (English/Chinese/Korean Ver.),"Rp 139,000"
GTA+: Great White Shark Cash Card (PS5™) (English/Chinese/Korean Ver.),"Rp 206,000"
GTA+: Bull Shark Cash Card (PS5™) (English/Chinese/Korean Ver.),"Rp 103,000"
GTA+: Tiger Shark Cash Card (PS5™) (English/Chinese/Korean Ver.),"Rp 52,000"
Trinity Pack (English/Chinese Ver.),"Rp 48,300"
Deus Ex: Mankind Divided - 500 Breach Chipsets (Add-On),"Rp 133,000"
Deus Ex: Mankind Divided - 50 Breach Chipsets (Add-On),"Rp 13,000"
Deus Ex: Mankind Divided -  A Criminal Past (Add-On),"Rp 60,000"
Deus Ex: Mankind Divided - Assault Pack (Add-On),"Rp 399,000"
Headshot FX Bundle 1  (English/Chinese/Korean Ver.),"Rp 69,000"
Headshot FX Bundle 2  (English/Chinese/Korean Ver.),"Rp 99,000"
"Dead Space (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 1,009,000"
"Need for Speed™ Unbound (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 1,009,000"
NHL® 23 PS4™ (English),"Rp 849,000"
"Wo Long: Fallen Dynasty (PS4 & PS5) (Simplified Chinese, English, Traditional Chinese)","Rp 582,900"
"Wo Long: Fallen Dynasty Digital Deluxe Edition (PS4 & PS5) (Simplified Chinese, English, Traditional Chinese)","Rp 872,340"
Wo Long: Fallen Dynasty Season Pass (Add-On),"Rp 324,000"
Deus Ex: Mankind Divided - Season Pass (Add-On),"Rp 60,000"
Deus Ex: Mankind Divided -  System Rift (Add-On),"Rp 147,000"
Horzine Mark 7 Suit Bundle (English/Chinese/Korean Ver.),"Rp 114,000"
NHL® 23 PS5™ (English),"Rp 1,009,000"
"Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles PS4＆PS5 (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 399,500"
Deus Ex: Mankind Divided - Tactical Pack (Add-On),"Rp 66,000"
Horzine Supply Cosmetic Crate - Series 6 Bronze Bundle Pack (English/Chinese/Korean Ver.),"Rp 69,000"
Horzine Supply Cosmetic Crate - Series 8 Bronze Bundle Pack (English/Chinese/Korean Ver.),"Rp 139,000"
Horzine Supply Weapon Crate - Series 16 Gold Bundle Pack (English/Chinese/Korean Ver.),"Rp 139,000"
"F1® 22  PS5™ (Simplified Chinese, English, Japanese)","Rp 1,009,000"
Madden NFL 23 PS4™ (English),"Rp 849,000"
Horzine Supply Weapon Crate - Series 17 Silver Bundle Pack (English/Chinese/Korean Ver.),"Rp 429,000"
Horzine Supply Weapon Crate - Series 5 Silver Bundle Pack (English/Chinese/Korean Ver.),"Rp 279,000"
Horzine Supply Weapon Crate - Series 7 Bronze Bundle Pack (English/Chinese/Korean Ver.),"Rp 279,000"
Horzine Supply Weapon Crate - Series 8 Bronze Bundle Pack (English/Chinese/Korean Ver.),"Rp 139,000"
Madden NFL 23 PS5™ (English),"Rp 1,009,000"
"Battlefield™ 2042 PS4™ (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 849,000"
KF2 Season Pass 2021 (English/Chinese/Korean Ver.),"Rp 139,000"
Killing Floor 2 - Alchemist Gear Cosmetic Bundle Pack (English/Chinese/Korean Ver.),"Rp 429,000"
"Battlefield™ 2042 PS5™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 1,009,000"
Killing Floor 2 - Alchemist Weapon Skin Bundle Pack (English/Chinese/Korean Ver.),"Rp 138,000"
EA Play 1 Month Discount Offer,"Rp 15,000"
Killing Floor 2 - Apocalypse Gear Cosmetic Bundle (English/Chinese/Korean Ver.),"Rp 114,000"
Killing Floor 2 - Armory Season Pass 2 (English/Chinese/Korean Ver.),"Rp 114,000"
Killing Floor 2  - Beyond Horizon MKII Weapon Skin Bundle Pack (English/Chinese/Korean Ver.),"Rp 279,000"
Killing Floor 2 - Blood & Bonfires Weapon Bundle (English/Chinese/Korean Ver.),"Rp 114,000"
"GRID Legends PS4 & PS5 (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 169,800"
Killing Floor 2 - Blood Sickle Weapon Bundle (English/Chinese/Korean Ver.),"Rp 199,000"
Killing Floor 2 - Blunderbuss Weapon Bundle (English/Chinese/Korean Ver.),"Rp 139,000"
WRC (English),"Rp 709,000"
"UFC® 5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 1,009,000"
"UFC® 5 Deluxe Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 1,409,000"
NHL® 24 PS5™ (English),"Rp 1,009,000"
Killing Floor 2 - Cardboard Knight Uniform Bundle (English/Chinese/Korean Ver.),"Rp 139,000"
Killing Floor 2 - Chameleon MKIII Weapon Skin Bundle Pack (English/Chinese/Korean Ver.),"Rp 69,000"
Killing Floor 2  - Chameleon MKII Weapon Skin Bundle Pack (English/Chinese/Korean Ver.),"Rp 69,000"
Killing Floor2 - Chameleon MKIV Weapon Skin Bundle Pack (English/Chinese/Korean Ver.),"Rp 69,000"
NHL® 24 PS4™ (English),"Rp 849,000"
NHL® 24 X-Factor Edition PS5™ & PS4™ (English),"Rp 1,409,000"
"EA SPORTS FC™ 24 Standard Edition PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 1,009,000"
"EA SPORTS FC™ 24 Ultimate Edition PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 1,409,000"
Killing Floor 2  - Chameleon Weapon Skin Bundle Pack (English/Chinese/Korean Ver.),"Rp 69,000"
Killing Floor 2  - Chemical Warrior Gear Cosmetic Bundle (English/Chinese/Korean Ver.),"Rp 69,000"
Killing Floor 2  - Chop Til' You Drop Full Gear Bundle (English/Chinese/Korean Ver.),"Rp 69,000"
Killing Floor 2 - Christmas 2020 Full Gear Bundle (English/Chinese/Korean Ver.),"Rp 199,000"
Madden NFL 24 (English),"Rp 1,009,000"
"F1® 23 (Simplified Chinese, English, Japanese)","Rp 1,009,000"
"F1® 23 Champions Edition (Simplified Chinese, English, Japanese)","Rp 507,600"
Killing Floor 2  - Christmas Weapon Skin Bundle Pack (English/Chinese/Korean Ver.),"Rp 199,000"
Killing Floor 2  - Classic MKII Weapon Skin Bundle Pack (English/Chinese/Korean Ver.),"Rp 114,000"
Killing Floor 2  - Classic Weapon Skin Bundle Pack (English/Chinese/Korean Ver.),"Rp 69,000"
Killing Floor 2 - Commando Chicken Bundle (English/Chinese/Korean Ver.),"Rp 69,000"
Killing Floor 2 - Compound Bow (English/Chinese/Korean Ver.),"Rp 69,000"
Killing Floor 2 - Corrupter Carbine Weapon Bundle (English/Chinese/Korean Ver.),"Rp 139,000"
Killing Floor 2  - Cosmetics Season Pass (English/Chinese/Korean Ver.),"Rp 139,000"
Killing Floor 2 - Cyberpunk Outfit Bundle (English/Chinese/Korean Ver.),"Rp 429,000"
Killing Floor 2 - Day of the Zed Character Outfit Set (English/Chinese/Korean Ver.),"Rp 69,000"
Killing Floor 2  - Day of the Zed Full Gear Bundle (English/Chinese/Korean Ver.),"Rp 69,000"
Killing Floor 2 - Day of the Zed Weapon Bundle (English/Chinese/Korean Ver.),"Rp 199,000"
Killing Floor 2 - Deep Sea Explorer Outfit Bundle (English/Chinese/Korean Ver.),"Rp 199,000"
